,bitcoin,ethereum,tether
2020-01-03 12:02:36.990,29229567397.314537,,
2020-01-03 12:02:38.184,,8138804902.985734,
2020-01-03 12:06:18.768,,,31745330827.214348
2020-01-03 13:09:08.195,29254142736.064842,,
2020-01-03 13:09:23.128,,8957808359.196741,
2020-01-03 13:39:47.556,,,32128869617.9454
2020-01-03 14:06:32.189,,9243485479.62016,
2020-01-03 14:10:13.843,29573995810.47758,,
2020-01-03 14:35:12.231,,,32773053721.782436
2020-01-03 15:04:46.955,30217599784.496292,,
2020-01-03 15:09:27.039,,8552486263.887515,
2020-01-03 15:39:05.530,,,33155302220.92594
2020-01-03 16:05:32.253,,9445556830.722797,
2020-01-03 16:09:39.922,30594093559.04437,,
2020-01-03 16:37:41.556,,,34451689142.90501
2020-01-03 17:04:49.895,31371801056.12083,,
2020-01-03 17:09:02.728,,8474292664.114459,
2020-01-03 17:37:51.835,,,33445886910.884537
2020-01-03 18:07:55.152,30566462666.257275,,
2020-01-03 18:09:15.468,,8793697551.88817,
2020-01-03 18:39:46.888,,,33672500666.66144
2020-01-03 19:09:54.228,,9230843796.483297,
2020-01-03 19:09:55.350,30426584965.245274,,
2020-01-03 19:39:24.777,,,33447731886.132885
2020-01-03 20:00:39.042,29376765261.877666,,
2020-01-03 20:04:52.518,,9200393379.392654,
2020-01-03 20:44:32.509,,,33481491292.817184
2020-01-03 21:10:02.954,,9379782458.8536,
2020-01-03 21:10:08.118,29019545029.24989,,
2020-01-03 21:39:39.571,,,33622968007.743206
2020-01-03 22:09:08.552,,8809168905.196009,
2020-01-03 22:09:10.779,30264561768.53115,,
2020-01-03 22:34:59.226,,,33660180060.5577
2020-01-03 23:07:40.577,30449140195.781548,,
2020-01-03 23:07:42.207,,8859306995.185997,
2020-01-03 23:37:38.157,,,34196921215.599655
2020-01-04 00:00:30.476,,9655245099.720835,
2020-01-04 00:12:39.734,31115748697.199432,,
2020-01-04 00:38:56.910,,,34515159688.05483
2020-01-04 01:05:10.412,31192562310.013454,,
2020-01-04 01:09:37.996,,9748018196.78642,
2020-01-04 01:37:02.633,,,34525311050.84674
2020-01-04 02:02:51.241,29750522206.95975,,
2020-01-04 02:09:46.728,,9225599718.731615,
2020-01-04 02:37:11.404,,,33844614221.41981
2020-01-04 03:04:02.161,30408154169.11725,,
2020-01-04 03:09:30.450,,9229442299.825367,
2020-01-04 03:34:46.964,,,33804292858.83849
2020-01-04 04:05:11.240,,8539966165.71141,
2020-01-04 04:09:30.852,30298666543.60643,,
2020-01-04 04:34:51.110,,,33659817349.08128
2020-01-04 05:04:52.700,,8514661668.991157,
2020-01-04 05:09:11.703,28561805218.641903,,
2020-01-04 05:37:19.551,,,32133439260.237022
2020-01-04 06:10:32.768,,9230954520.373991,
2020-01-04 06:12:25.005,28141334715.09951,,
2020-01-04 06:35:19.376,,,31815233187.247894
2020-01-04 07:10:18.848,,9123052710.93175,
2020-01-04 07:10:32.428,26892149335.565212,,
2020-01-04 07:39:50.406,,,30892547463.603054
2020-01-04 08:09:17.031,,8507576227.227787,
2020-01-04 08:09:20.384,26596585529.491943,,
2020-01-04 08:25:50.576,,,30284014837.58324
2020-01-04 09:05:23.478,,6857757987.202461,
2020-01-04 09:05:23.646,25948956785.11282,,
2020-01-04 09:24:22.703,,,28896016852.009106
2020-01-04 10:09:23.409,24461541793.899166,,
2020-01-04 10:09:27.788,,8147120044.950815,
2020-01-04 10:39:30.130,,,28267585039.657314
2020-01-04 11:03:06.458,,8177177088.1564045,
2020-01-04 11:04:36.881,24469383418.44194,,
2020-01-04 11:34:13.107,,,27962018454.76414
