,bitcoin,ethereum,tether
2020-01-03 11:37:45.107,,,4282741442.63241
2020-01-03 12:02:36.990,132729281014.06606,,
2020-01-03 12:02:38.184,,14428380045.259861,
2020-01-03 12:06:18.768,,,4287504811.3213196
2020-01-03 13:09:08.195,132626829720.78738,,
2020-01-03 13:09:23.128,,14413894962.11683,
2020-01-03 13:39:47.556,,,4288535601.420097
2020-01-03 14:06:32.189,,14553737614.078747,
2020-01-03 14:10:13.843,133446390508.58548,,
2020-01-03 14:35:12.231,,,4276642088.72883
2020-01-03 15:04:46.955,131763045638.09541,,
2020-01-03 15:09:27.039,,14364124647.698807,
2020-01-03 15:39:05.530,,,4286871417.411114
2020-01-03 16:05:32.253,,14430199093.642086,
2020-01-03 16:09:39.922,132493977899.67215,,
2020-01-03 16:37:41.556,,,4297643534.892913
2020-01-03 17:04:49.895,133417665441.2503,,
2020-01-03 17:09:02.728,,14553161594.51909,
2020-01-03 17:37:51.835,,,4288212565.5708833
2020-01-03 18:07:55.152,133220348712.44592,,
2020-01-03 18:09:15.468,,14610779153.397892,
2020-01-03 18:39:46.888,,,4287513604.2369623
2020-01-03 19:09:54.228,,14547522288.091402,
2020-01-03 19:09:55.350,132923110195.98572,,
2020-01-03 19:39:24.777,,,4291996011.304077
2020-01-03 20:00:39.042,132878849755.16776,,
2020-01-03 20:04:52.518,,14547381604.8001,
2020-01-03 20:44:32.509,,,4281724369.1383963
2020-01-03 21:10:02.954,,14570490837.837114,
2020-01-03 21:10:08.118,132682676847.57234,,
2020-01-03 21:39:39.571,,,4285795546.9754324
2020-01-03 22:09:08.552,,14422068607.86407,
2020-01-03 22:09:10.779,131605748165.71596,,
2020-01-03 22:34:59.226,,,4283903913.981855
2020-01-03 23:07:40.577,132407552774.88217,,
2020-01-03 23:07:42.207,,14526976631.391161,
2020-01-03 23:37:38.157,,,4294667079.2407064
2020-01-04 00:00:30.476,,14613194775.854177,
2020-01-04 00:12:39.734,132839296947.03363,,
2020-01-04 00:38:56.910,,,4286419857.2138596
2020-01-04 01:05:10.412,132187639185.83171,,
2020-01-04 01:09:37.996,,14582077123.52874,
2020-01-04 01:37:02.633,,,4287892819.702309
2020-01-04 02:02:51.241,132518129219.47429,,
2020-01-04 02:09:46.728,,14504555941.656927,
2020-01-04 02:37:11.404,,,4284210452.861232
